epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,1189.19,1.40741,1.1233,1.19749,0,0,0,0,3.42048,1355.16,7.0003,0.0148883,0.00788826,0.00788826
48,1212.8,1.32573,1.13662,1.17824,0.00019,0.02778,0.0001,3e-05,3.78214,2028.03,9.06868,0.0130265,0.00802655,0.00802655
49,1237.07,1.43897,1.08434,1.15848,0.00019,0.02778,0.0001,3e-05,3.78214,2028.03,9.06868,0.0111635,0.00816352,0.00816352
50,1260.88,1.41884,1.08601,1.21547,0,0,0,0,4.26514,2949.4,16.2376,0.00929917,0.00829917,0.00829917
51,1284.48,1.31731,1.05983,1.15981,0,0,0,0,4.26514,2949.4,16.2376,0.00835,0.00835,0.00835
52,1308.45,1.2972,1.06843,1.19867,0,0,0,0,4.3385,3233.34,22.2879,0.008317,0.008317,0.008317
53,1332.49,1.3416,1.01803,1.16119,0,0,0,0,4.3385,3233.34,22.2879,0.008284,0.008284,0.008284
54,1355.92,1.29339,0.96591,1.13079,0,0,0,0,4.45007,3570.23,11.9305,0.008251,0.008251,0.008251
55,1379.04,1.39805,1.1269,1.20537,0,0,0,0,4.45007,3570.23,11.9305,0.008218,0.008218,0.008218
56,1402.54,1.35527,1.04199,1.15814,0,0,0,0,4.50052,3411.29,10.372,0.008185,0.008185,0.008185
57,1425.96,1.35554,1.14886,1.19839,0,0,0,0,4.50052,3411.29,10.372,0.008152,0.008152,0.008152
58,1449.44,1.34597,1.06848,1.1313,0,0,0,0,4.48276,1399.18,7.32599,0.008119,0.008119,0.008119
59,1473.03,1.35197,1.00522,1.16332,0,0,0,0,4.48276,1399.18,7.32599,0.008086,0.008086,0.008086
60,1497.12,1.38048,1.00176,1.18008,0.21038,0.11111,0.08665,0.06369,3.17571,272.692,3.46832,0.008053,0.008053,0.008053
61,1520.75,1.39067,0.98566,1.20131,0.21038,0.11111,0.08665,0.06369,3.17571,272.692,3.46832,0.00802,0.00802,0.00802
62,1544.86,1.40185,0.99989,1.19458,0.11444,0.38889,0.09034,0.04767,2.42827,30.6578,2.55268,0.007987,0.007987,0.007987
63,1568.04,1.34776,1.01424,1.19329,0.11444,0.38889,0.09034,0.04767,2.42827,30.6578,2.55268,0.007954,0.007954,0.007954
64,1591.74,1.31888,0.99896,1.17913,0.2067,0.41667,0.14237,0.07458,2.10583,8.47176,2.23974,0.007921,0.007921,0.007921
65,1615.28,1.46553,0.97737,1.17931,0.2067,0.41667,0.14237,0.07458,2.10583,8.47176,2.23974,0.007888,0.007888,0.007888
66,1638.86,1.40829,1.02193,1.1651,0.18285,0.27778,0.10744,0.06198,2.28958,9.12439,2.39807,0.007855,0.007855,0.007855
67,1662.35,1.3762,1.00032,1.18169,0.18285,0.27778,0.10744,0.06198,2.28958,9.12439,2.39807,0.007822,0.007822,0.007822
68,1685.69,1.44943,0.96935,1.16832,0.23108,0.33333,0.13981,0.08623,2.65887,28.8499,2.61897,0.007789,0.007789,0.007789
69,1709.1,1.33353,0.98936,1.16283,0.23108,0.33333,0.13981,0.08623,2.65887,28.8499,2.61897,0.007756,0.007756,0.007756
70,1732.77,1.35526,0.94343,1.12061,0.14049,0.25,0.07755,0.04733,2.73026,54.6816,2.618,0.007723,0.007723,0.007723
71,1756.21,1.35571,1.01034,1.18269,0.14049,0.25,0.07755,0.04733,2.73026,54.6816,2.618,0.00769,0.00769,0.00769
72,1780.15,1.42728,0.97533,1.12401,0.13927,0.36111,0.11755,0.0605,2.52568,25.2477,2.30964,0.007657,0.007657,0.007657
73,1803.96,1.29321,0.92074,1.1114,0.13927,0.36111,0.11755,0.0605,2.52568,25.2477,2.30964,0.007624,0.007624,0.007624
74,1827.8,1.265,0.92997,1.13191,0.20956,0.36111,0.19642,0.11305,1.98091,8.18397,2.01127,0.007591,0.007591,0.007591
75,1851.28,1.28009,0.94411,1.13938,0.20956,0.36111,0.19642,0.11305,1.98091,8.18397,2.01127,0.007558,0.007558,0.007558
76,1875.35,1.25258,0.89111,1.09454,0.15233,0.44444,0.18375,0.10802,1.95261,7.80102,2.01424,0.007525,0.007525,0.007525
77,1898.92,1.31146,0.92376,1.10641,0.15233,0.44444,0.18375,0.10802,1.95261,7.80102,2.01424,0.007492,0.007492,0.007492
78,1922.78,1.31898,0.92814,1.13232,0.07751,0.58333,0.07353,0.04023,2.06343,11.3008,2.07011,0.007459,0.007459,0.007459
79,1946.77,1.20462,0.90133,1.09309,0.07751,0.58333,0.07353,0.04023,2.06343,11.3008,2.07011,0.007426,0.007426,0.007426
80,1971.04,1.1888,0.85591,1.04976,0.05686,0.38889,0.04251,0.02122,2.15125,16.124,2.15763,0.007393,0.007393,0.007393
81,1994.6,1.29157,0.93356,1.12879,0.05686,0.38889,0.04251,0.02122,2.15125,16.124,2.15763,0.00736,0.00736,0.00736
82,2018.15,1.24973,0.94725,1.0784,0.42119,0.13889,0.05552,0.0271,2.18505,11.0319,2.13462,0.007327,0.007327,0.007327
83,2041.51,1.18991,0.85399,1.08619,0.42119,0.13889,0.05552,0.0271,2.18505,11.0319,2.13462,0.007294,0.007294,0.007294
84,2065.09,1.28669,0.98329,1.15976,0.11033,0.43892,0.12464,0.07198,1.8869,7.2366,1.86479,0.007261,0.007261,0.007261
85,2088.39,1.24486,0.88376,1.08751,0.11033,0.43892,0.12464,0.07198,1.8869,7.2366,1.86479,0.007228,0.007228,0.007228
86,2112.1,1.16651,0.86902,1.07077,0.19433,0.19444,0.16218,0.0937,1.76961,5.27326,1.75927,0.007195,0.007195,0.007195
87,2135.9,1.24916,0.88771,1.11234,0.19433,0.19444,0.16218,0.0937,1.76961,5.27326,1.75927,0.007162,0.007162,0.007162
88,2159.35,1.20344,0.82576,1.09719,0.13733,0.26537,0.13566,0.08166,1.7647,7.35312,1.70386,0.007129,0.007129,0.007129
89,2182.67,1.16501,0.79741,1.06012,0.13733,0.26537,0.13566,0.08166,1.7647,7.35312,1.70386,0.007096,0.007096,0.007096
90,2206.37,1.13032,0.83932,1.08382,0.17604,0.13889,0.11681,0.06917,2.20951,5.29278,1.89768,0.007063,0.007063,0.007063
91,2229.86,1.24385,0.87939,1.12316,0.17604,0.13889,0.11681,0.06917,2.20951,5.29278,1.89768,0.00703,0.00703,0.00703
