epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,89.3302,1.31688,1.77974,1.02274,1,0.08688,0.25383,0.16631,1.72131,3.37967,1.39564,0.000452235,0.000452235,0.000452235
44,91.2608,1.31941,1.65545,1.01254,1,0.08688,0.25383,0.16631,1.72131,3.37967,1.39564,0.000461229,0.000461229,0.000461229
45,93.1459,1.283,1.56547,1.05207,0.86134,0.13214,0.26515,0.16038,1.72126,3.33805,1.35533,0.00047014,0.00047014,0.00047014
46,95.096,1.28214,1.62906,1.0347,0.86134,0.13214,0.26515,0.16038,1.72126,3.33805,1.35533,0.000478969,0.000478969,0.000478969
47,97.0968,1.33043,1.64364,1.04825,0.94807,0.08444,0.26468,0.16677,1.73076,3.33697,1.3451,0.000487715,0.000487715,0.000487715
48,99.0281,1.24132,1.4886,1.03181,0.94807,0.08444,0.26468,0.16677,1.73076,3.33697,1.3451,0.000496379,0.000496379,0.000496379
49,100.996,1.13902,1.43462,0.98965,0.887,0.08431,0.29726,0.18747,1.74446,3.31362,1.35022,0.00050496,0.00050496,0.00050496
50,102.96,1.33096,1.43347,1.02787,0.887,0.08431,0.29726,0.18747,1.74446,3.31362,1.35022,0.000513459,0.000513459,0.000513459
51,104.929,1.22678,1.5243,1.03461,0.66975,0.2103,0.3168,0.19931,1.78774,3.30447,1.34451,0.000521875,0.000521875,0.000521875
52,106.997,1.21717,1.33263,0.99878,0.66975,0.2103,0.3168,0.19931,1.78774,3.30447,1.34451,0.000530209,0.000530209,0.000530209
53,108.912,1.26742,1.64267,1.08913,0.66975,0.2103,0.3168,0.19931,1.78774,3.30447,1.34451,0.00053846,0.00053846,0.00053846
54,110.996,1.19548,1.42679,0.99911,0.63755,0.2567,0.31999,0.19591,1.83269,3.2838,1.3325,0.000546629,0.000546629,0.000546629
55,112.995,1.23552,1.36613,1.02362,0.63755,0.2567,0.31999,0.19591,1.83269,3.2838,1.3325,0.000554715,0.000554715,0.000554715
56,114.93,1.17568,1.26836,0.99304,0.63755,0.2567,0.31999,0.19591,1.83269,3.2838,1.3325,0.000562719,0.000562719,0.000562719
57,116.912,1.33811,1.31462,1.00943,0.05978,0.41273,0.36668,0.21346,1.81366,3.2622,1.31034,0.00057064,0.00057064,0.00057064
58,118.83,1.16814,1.32591,1.01838,0.05978,0.41273,0.36668,0.21346,1.81366,3.2622,1.31034,0.000578479,0.000578479,0.000578479
59,120.78,1.17389,1.24584,1.00663,0.05978,0.41273,0.36668,0.21346,1.81366,3.2622,1.31034,0.000586235,0.000586235,0.000586235
60,122.814,1.3869,1.30791,1.0535,0.80231,0.14261,0.41637,0.24866,1.76741,3.20025,1.30315,0.000593909,0.000593909,0.000593909
61,124.713,1.11159,1.20075,1.01897,0.80231,0.14261,0.41637,0.24866,1.76741,3.20025,1.30315,0.0006015,0.0006015,0.0006015
62,126.647,1.11111,1.25789,1.01322,0.80231,0.14261,0.41637,0.24866,1.76741,3.20025,1.30315,0.000609009,0.000609009,0.000609009
63,128.564,1.22497,1.31147,1.01873,0.68982,0.13922,0.38249,0.23459,1.84177,3.16147,1.37826,0.000616435,0.000616435,0.000616435
64,130.679,1.25206,1.23457,0.9754,0.68982,0.13922,0.38249,0.23459,1.84177,3.16147,1.37826,0.000623779,0.000623779,0.000623779
65,132.579,1.10762,1.26194,0.9846,0.68982,0.13922,0.38249,0.23459,1.84177,3.16147,1.37826,0.00063104,0.00063104,0.00063104
66,134.744,1.07118,1.16907,0.97905,0.72343,0.13398,0.3905,0.23736,1.83302,3.01776,1.38118,0.000638219,0.000638219,0.000638219
67,136.883,1.04338,1.11565,0.94477,0.72343,0.13398,0.3905,0.23736,1.83302,3.01776,1.38118,0.000645315,0.000645315,0.000645315
68,138.924,1.06538,1.18411,1.02885,0.72343,0.13398,0.3905,0.23736,1.83302,3.01776,1.38118,0.000652329,0.000652329,0.000652329
69,141.134,1.22591,1.21722,1.03061,0.67001,0.1804,0.40671,0.24041,1.90794,2.84675,1.44039,0.00065926,0.00065926,0.00065926
70,143.073,0.98716,1.02024,0.94651,0.67001,0.1804,0.40671,0.24041,1.90794,2.84675,1.44039,0.000666109,0.000666109,0.000666109
71,145.008,1.22835,1.16761,1.01509,0.67001,0.1804,0.40671,0.24041,1.90794,2.84675,1.44039,0.000672875,0.000672875,0.000672875
72,147.087,1.28763,1.13842,1.01386,0.71742,0.2485,0.38891,0.24915,1.88177,2.74282,1.42858,0.000679559,0.000679559,0.000679559
73,149.092,1.18087,1.09255,1.01096,0.71742,0.2485,0.38891,0.24915,1.88177,2.74282,1.42858,0.00068616,0.00068616,0.00068616
74,151.089,1.06085,1.11023,0.97349,0.71742,0.2485,0.38891,0.24915,1.88177,2.74282,1.42858,0.000692679,0.000692679,0.000692679
75,153.123,1.07218,1.05267,0.94936,0.72367,0.26058,0.40904,0.25825,1.85459,2.65566,1.43756,0.000699115,0.000699115,0.000699115
76,155.058,1.09735,1.08773,0.9966,0.72367,0.26058,0.40904,0.25825,1.85459,2.65566,1.43756,0.000705469,0.000705469,0.000705469
77,157.008,1.01136,0.96898,0.92729,0.72367,0.26058,0.40904,0.25825,1.85459,2.65566,1.43756,0.00071174,0.00071174,0.00071174
78,159.036,1.0563,1.07104,0.97135,0.70326,0.30095,0.45112,0.274,1.82785,2.54328,1.39976,0.000717929,0.000717929,0.000717929
79,161.024,1.12481,1.12591,1.00013,0.70326,0.30095,0.45112,0.274,1.82785,2.54328,1.39976,0.000724035,0.000724035,0.000724035
80,163.009,1.04921,1.10052,0.9418,0.70326,0.30095,0.45112,0.274,1.82785,2.54328,1.39976,0.000730059,0.000730059,0.000730059
81,164.992,1.09668,1.08141,1.02669,0.56189,0.32409,0.44446,0.26396,1.85507,2.41629,1.40868,0.000736,0.000736,0.000736
82,166.942,1.10826,1.08096,1.02071,0.56189,0.32409,0.44446,0.26396,1.85507,2.41629,1.40868,0.000741859,0.000741859,0.000741859
83,168.942,1.07127,0.98686,0.9854,0.56189,0.32409,0.44446,0.26396,1.85507,2.41629,1.40868,0.000747635,0.000747635,0.000747635
84,170.985,1.10559,1.0463,0.97437,0.56232,0.34359,0.4705,0.27854,1.81642,2.36146,1.40175,0.000753329,0.000753329,0.000753329
85,173.024,1.05078,0.99143,0.95771,0.56232,0.34359,0.4705,0.27854,1.81642,2.36146,1.40175,0.00075894,0.00075894,0.00075894
86,174.936,1.02104,1.00117,0.94988,0.56232,0.34359,0.4705,0.27854,1.81642,2.36146,1.40175,0.000764469,0.000764469,0.000764469
87,176.942,1.07611,1.1624,0.97167,0.56232,0.34359,0.4705,0.27854,1.81642,2.36146,1.40175,0.000769915,0.000769915,0.000769915
88,178.925,0.89499,0.95913,0.935,0.57198,0.36778,0.4791,0.29029,1.74538,2.21305,1.31599,0.000775279,0.000775279,0.000775279
89,180.907,1.01912,0.96848,0.96347,0.57198,0.36778,0.4791,0.29029,1.74538,2.21305,1.31599,0.00078056,0.00078056,0.00078056
90,182.876,0.98058,0.95288,0.92538,0.57198,0.36778,0.4791,0.29029,1.74538,2.21305,1.31599,0.000785759,0.000785759,0.000785759
91,184.759,0.99404,0.98824,0.99299,0.57198,0.36778,0.4791,0.29029,1.74538,2.21305,1.31599,0.000790875,0.000790875,0.000790875
