epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0857,2.11376,4.14828,1.47129,0,0,0,0,1.96671,4.06159,1.42193,2.5e-05,2.5e-05,2.5e-05
2,37.1103,2.12455,4.09792,1.46503,0,0,0,0,1.84591,4.05503,1.39063,6.23763e-05,6.23763e-05,6.23763e-05
3,54.7304,2.03842,3.98472,1.41192,0.00238,0.01786,0.00132,0.00013,1.64292,4.03339,1.30062,9.9604e-05,9.9604e-05,9.9604e-05
4,72.9371,1.86421,3.69769,1.28686,0.00938,0.07418,0.02706,0.01685,1.63754,3.99595,1.2446,0.000136683,0.000136683,0.000136683
5,90.3727,1.8934,3.28589,1.25554,0.01675,0.14835,0.09305,0.05217,1.63588,3.90888,1.19669,0.000173614,0.000173614,0.000173614
6,107.591,1.83992,2.96405,1.2219,0.01699,0.16758,0.13183,0.06399,1.61098,3.79373,1.17436,0.000210396,0.000210396,0.000210396
7,125.698,1.82153,2.82999,1.20932,0.01951,0.22527,0.14591,0.08264,1.6103,3.70433,1.18997,0.00024703,0.00024703,0.00024703
8,143.039,1.69235,2.57745,1.14213,0.02728,0.32005,0.18809,0.11317,1.6392,3.6238,1.21882,0.000283515,0.000283515,0.000283515
9,159.74,1.72351,2.49278,1.16433,0.03194,0.35714,0.26567,0.18235,1.63728,3.49,1.18573,0.000319852,0.000319852,0.000319852
10,176.706,1.73029,2.368,1.17848,0.0323,0.35714,0.28122,0.1941,1.62783,3.41623,1.14853,0.00035604,0.00035604,0.00035604
11,194.304,1.69473,2.2372,1.13268,0.03759,0.39029,0.31176,0.20639,1.57419,3.21683,1.11221,0.00039208,0.00039208,0.00039208
12,211.074,1.67195,2.078,1.15368,0.04294,0.42363,0.34263,0.21815,1.52848,3.11732,1.13115,0.000427971,0.000427971,0.000427971
13,228.021,1.55841,1.88953,1.08897,0.81513,0.20936,0.33161,0.20953,1.55713,2.97241,1.18925,0.000463714,0.000463714,0.000463714
14,245.009,1.63938,1.89033,1.13564,0.8796,0.18101,0.34404,0.22422,1.55636,2.92054,1.22251,0.000499308,0.000499308,0.000499308
15,262.108,1.53666,1.76873,1.10796,0.83042,0.2723,0.47417,0.30695,1.57373,2.7343,1.26771,0.000534754,0.000534754,0.000534754
16,278.945,1.48563,1.66352,1.11445,0.65407,0.34944,0.50417,0.32042,1.52944,2.6778,1.23923,0.000570051,0.000570051,0.000570051
17,295.911,1.52654,1.58199,1.12252,0.53287,0.54945,0.52188,0.31578,1.52653,2.58576,1.2484,0.0006052,0.0006052,0.0006052
18,313.063,1.48604,1.54785,1.11841,0.66859,0.54453,0.5761,0.31093,1.5588,2.5322,1.27705,0.0006402,0.0006402,0.0006402
19,330.266,1.43702,1.43703,1.08443,0.76045,0.45183,0.5671,0.28883,1.61748,2.50391,1.28443,0.000675052,0.000675052,0.000675052
20,347.452,1.50595,1.4716,1.09458,0.74014,0.26001,0.52411,0.28088,1.5452,2.48641,1.25178,0.000709755,0.000709755,0.000709755
