epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,466.505,1.19389,1.19902,1.04926,0.68555,0.33702,0.66371,0.44848,1.20567,2.22868,1.04262,0.00108978,0.00108978,0.00108978
43,476.987,1.18544,1.09745,1.0168,0.68555,0.33702,0.66371,0.44848,1.20567,2.22868,1.04262,0.00111364,0.00111364,0.00111364
44,487.927,1.21808,1.17849,1.02175,0.74448,0.38309,0.67728,0.45002,1.19011,2.16146,1.0395,0.00113738,0.00113738,0.00113738
45,498.968,1.19701,1.1653,1.01423,0.74448,0.38309,0.67728,0.45002,1.19011,2.16146,1.0395,0.00116101,0.00116101,0.00116101
46,509.528,1.16731,1.12343,0.98543,0.78247,0.35363,0.55921,0.41097,1.17699,2.36526,1.04548,0.00118453,0.00118453,0.00118453
47,519.964,1.1857,1.09396,1.05378,0.78247,0.35363,0.55921,0.41097,1.17699,2.36526,1.04548,0.00120793,0.00120793,0.00120793
48,530.889,1.16855,1.07275,1.00948,0.83603,0.19445,0.40566,0.28687,1.40972,2.89244,1.20415,0.00123122,0.00123122,0.00123122
49,541.471,1.19411,1.10941,1.03453,0.83603,0.19445,0.40566,0.28687,1.40972,2.89244,1.20415,0.00125439,0.00125439,0.00125439
50,551.828,1.1596,1.14491,1.01981,0.69984,0.07109,0.33179,0.22587,1.36736,3.22072,1.19312,0.00127745,0.00127745,0.00127745
51,562.642,1.2389,1.13633,1.05289,0.69984,0.07109,0.33179,0.22587,1.36736,3.22072,1.19312,0.00128753,0.00128753,0.00128753
52,573.311,1.10294,1.04485,0.99228,0.6791,0.19463,0.42284,0.31167,1.28715,2.84159,1.1289,0.0012847,0.0012847,0.0012847
53,584.106,1.20645,1.11256,1.01878,0.6791,0.19463,0.42284,0.31167,1.28715,2.84159,1.1289,0.00128187,0.00128187,0.00128187
54,594.844,1.15211,1.03881,1.00349,0.64572,0.33375,0.53243,0.37956,1.28038,2.47191,1.09198,0.00127904,0.00127904,0.00127904
55,605.691,1.18211,1.0343,1.01337,0.64572,0.33375,0.53243,0.37956,1.28038,2.47191,1.09198,0.00127621,0.00127621,0.00127621
56,616.167,1.11751,1.02604,0.97465,0.70583,0.49639,0.62431,0.43469,1.27094,2.14032,1.07682,0.00127338,0.00127338,0.00127338
57,626.915,1.22139,1.12584,1.03669,0.70583,0.49639,0.62431,0.43469,1.27094,2.14032,1.07682,0.00127055,0.00127055,0.00127055
58,637.678,1.17204,1.03897,0.99223,0.81976,0.49991,0.65776,0.44018,1.29763,2.05855,1.09735,0.00126772,0.00126772,0.00126772
59,648.376,1.15745,1.01526,1.01303,0.81976,0.49991,0.65776,0.44018,1.29763,2.05855,1.09735,0.00126489,0.00126489,0.00126489
60,658.979,1.10751,0.98703,0.9821,0.76232,0.45731,0.62691,0.45537,1.2771,2.08253,1.07247,0.00126206,0.00126206,0.00126206
61,669.799,1.17369,1.00924,1.00602,0.76232,0.45731,0.62691,0.45537,1.2771,2.08253,1.07247,0.00125923,0.00125923,0.00125923
62,680.628,1.13283,1.01114,0.99439,0.73525,0.49632,0.57583,0.41879,1.24881,2.20236,1.06292,0.00125641,0.00125641,0.00125641
63,691.173,1.11929,1.01385,0.9989,0.73525,0.49632,0.57583,0.41879,1.24881,2.20236,1.06292,0.00125358,0.00125358,0.00125358
64,701.983,1.18137,0.98253,1.00303,0.82407,0.49712,0.57994,0.43429,1.20604,2.15595,1.05518,0.00125075,0.00125075,0.00125075
65,712.678,1.07234,0.96221,0.97982,0.82407,0.49712,0.57994,0.43429,1.20604,2.15595,1.05518,0.00124792,0.00124792,0.00124792
